Trigger;Character;DialogueText;Next;Cutscene
testtrigger1;Masika;Ohhh, my head. Why is everything spinning?;yes;
;Masika;Where am I? This looks like somewhere I used to know, but something’s not right.;yes;
;Masika;It’s different here. I feel lighter. Less grounded. That, combined with the memories clouded within my mind… I understand now.;;
testtrigger2;Masika;Oh, hello there! Aren’t you a beautiful one? What are you doing here?;yes;
;Masika;Wait. Why do I feel like I should know you? Where do I know you from? What’s your name?;yes;
;Masika;May I call you Eshe?;yes;
;Masika;It seems appropriate to have Life accompany me through this place. That is, of course, if you’re willing?;yes;
;Eshe;…;yes;
;Masika;Right. I guess even in the land of the dead, cats don’t wish to communicate with humans.;yes;
;Masika;Shall we go? I’d very much like to reach the Field of Reeds. I hope my memory returns along the way, I’d like to know what happened to me.;;
testtrigger3;Masika;This place reminds me of a grand city somewhere… I remember!;yes;
;Masika;When I left home, my small village, I went to Thebes to break out of the cycle that was threatening to swallow me whole.;yes;
;Masika;It had loomed so large from so far, sprawling farther than I could see and growing more imposing with every step down the track I’d travelled.;yes;
;Masika;My father’s voice had followed me the entire way, reminding me where my true home was and reciting a list of approved men from the village.;yes;
;Masika;I’d shaken the voice away every time it grew loud and kept walking.;yes;
;Masika;So maybe I hadn’t had a plan for what to do when I got to Thebes, but I knew I wanted to be there.;yes;
;Masika;And more importantly, I had faith the city’s opportunities would reveal themselves to me in time. ;yes;
;Masika;I remember that they did, but… I can’t remember what they were.;;
testtrigger4;Masika;I remember a signpost just like this, looking at it and knowing that my parents… ;yes;signpost
;Masika;They’d never fulfilled my greatest wish in life. They’d never fully accepted my individuality and always tried to push one marriage on me or another.;yes;
;Masika;While my father’s behaviour was worse, my mother’s passivity had brought with it its own evils. ;yes;
;Masika;My father had never hidden his distaste for my decisions, especially as I grew old enough to have my choices remain the actions I followed. ;yes;
;Masika;Where he wanted me to find a husband and remain in our village, stay at home, I was never content with that image.;yes;
;Masika;I wanted to roam, be my own person, and most of all avoid every supposedly eligible suitor my father pushed in my direction to ‘fix my outlook on marriage.';;
testtrigger5;Masika;I’d never really liked going home since it just gave my parents the opportunity to push suitors from the village at me.;yes;necklace
;Masika;They’d tell me how home would always welcome me back when Thebes became too imposing. My sister, though… ;yes;
;Masika;She’d truly loved my independence and drive to plow my own path. Her journey was so different from my own but we still kept incredibly close until I moved away.;yes;
;Masika;Our last talk was one of the best of my life.;yes;
;Masika;The best older sister I could have asked for, Rehema was always pushing me to do what I wanted instead of what was expected of me.;yes;
;Masika;Only two years separated us but there were times she felt like the mother I’d dreamt of.;yes;
;Masika;She was not only gentle and accepting of who it was I wanted to be, but encouraged me to chase after that vision.;yes;
;Masika;She owned jewelry just like this. I miss her.;;
testtrigger6;Masika;These ruins! I grew up in a home like this! My sister was the only reason I had to return after I left, as sporadic as the trips were.;yes;house
;Masika;My parents radiated disapproval and besides, it was much more productive to keep building my life in Thebes than have it be ripped apart by harsh opinions. ;yes;
;Masika;My last trip back, Rehema and I talked for a long time. I’d forgotten… I loved speaking with my sister on the soft sand as the sun set over the hills. ;yes;
;Masika;It was a hard conversation since Zuberi had just died. They’d been married for years and known each other since, well, forever. ;yes;
